law_number,law_category,official_name,systematic_name,common_name,aliases,effective_date,effective_date_ja,pubchem_cid,inchi_key,smiles,source_link,note,status
14,指定薬物,Ｎ－（１－アダマンチル）－１－（５－クロロペンチル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(1-Adamantyl)-1-(5-chloropenthyl)-1H-indazole-3-carboxamide,APINACA N-(5-chloropentyl)誘導体,,2016/04/08,平成28年4月8日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
15,指定薬物,Ｎ－（１－アダマンチル）－１－（シクロヘキシルメチル）－１Ｈ－インダゾ－ル－３－カルボキサミド及びその塩類,N-(1-Adamantyl)-1-(cyclohexylmethyl)-1H-indazole-3-carboxamide,Adamantyl-CHMINACA,A-CHMINACA,2021/10/21,令和3年10月21日,137700313,ACFKPINHOINOFB-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
16,指定薬物,Ｎ－（１－アダマンチル）－１－［（テトラヒドロ－２H－ピラン－４－イル）メチル］－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(1-adamantyl)-1-(oxan-4-ylmethyl)indazole-3-carboxamide,Adamantyl-THPINACA,ATHPINACA; AD-THPINACA,2017/02/24,平成29年2月24日,123132009,XFZLBNDGZVRJNJ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
17,指定薬物,Ｎ－（２－アダマンチル）－１－［（テトラヒドロ－２H－ピラン－４－イル）メチル］－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(2-adamantyl)-1-(oxan-4-ylmethyl)indazole-3-carboxamide,Adamantyl-THPINACA 2- adamantyl 異性体,,2017/02/24,平成29年2月24日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
18,指定薬物,Ｎ－（１－アダマンチル）－１－（４―フルオロブチル）－１Ｈ－インダゾ－ル－３－カルボキサミド及びその塩類,N-(1-Adamantyl)-1-(4-fuluoropentyl)indazole-3-carboxyamide,4F-ABINACA,,2023/06/21,令和5年6月21日,118796478 ,CBDPDVXPZYOIRM-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
19,指定薬物,Ｎ－（１－アダマンチル）－１－（４－フルオロベンジル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(1-adamantyl)-1-[(4-fluorophenyl)methyl]indazole-3-carboxamide,FUB-APINACA,,2014/12/26,平成26年12月26日,118796517,MWBHSNBPUSKVDD-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
20,指定薬物,Ｎ－（１－アダマンチル）－１－（５－フルオロペンチル）－１Ｈ－インドール－３－カルボキサミド及びその塩類,N-(1-adamantyl)-1-(5-fluoropentyl)indole-3-carboxamide,STS-135,APICA N-(5-fluoropentyl) 誘導体,2013/04/30,平成25年4月30日,57404059,COYHGVCHRRXECF-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
21,指定薬物,Ｎ－（１－アダマンチル）－１－ペンチル－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(1-adamantyl)-1-pentylindazole-3-carboxamide,AKB48,APINACA,2012/06/01,平成24年6月1日,57404063,UCTCCIPCJZKWEZ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
22,指定薬物,１―アダマンチル＝１―ペンチル―１Ｈ―インダゾール―３―カルボキシラート及びその塩類,1-adamantyl 1-pentylindazole-3-carboxylate,ACBL(N)-018,APINAC; AKB57,2017/12/19,平成29年12月19日,129532609,KCCVWUAAHDXNNQ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
23,指定薬物,１－アダマンチル（１－ペンチル－１Ｈ－インドール－３－イル）メタノン及びその塩類,1-adamantyl-(1-pentylindol-3-yl)methanone,AB-001,,2013/04/30,平成25年4月30日,154728220,LJSMCOGLALRQKD-BISOHRNISA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
24,指定薬物,Ｎ－（１－アダマンチル）－１－ペンチル－１Ｈ－インドール－３－カルボキサミド及びその塩類,N-(1-adamantyl)-1-pentylindole-3-carboxamide,APICA,2NE1,2012/06/01,平成24年6月1日,71308155,MDJYHWLDDJBTMX-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
25,指定薬物,１－アダマンチル｛１－［（１－メチルピペリジン－２－イル）メチル］－１Ｈ－インドール－３－イル｝メタノン及びその塩類,1-adamantyl-[1-[(1-methylpiperidin-2-yl)methyl]indol-3-yl]methanone,AM1248,,2013/04/30,平成25年4月30日,10293794,JRECAXBHMULNJQ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
26,指定薬物,Ｎ－（１－アミノ－１－オキソ－３－フェニルプロパン－２－イル）－１－（シクロヘキシルメチル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-1-(cyclohexylmethyl)indazole-3-carboxamide,APP-CHMINACA,PX-3,2016/08/24,平成28年8月24日,44206137,DMHWDSGURMXMGE-FQEVSTJZSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
27,指定薬物,Ｎ－（１－アミノ－１－オキソ－３－フェニルプロパン－２－イル）－１－ブチル－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-1-butylindazole-3-carboxamide,APP-BUTINACA,APP-BINACA,2022/12/16,令和4年12月16日,154735174,OYARCJMQMAFMTG-KRWDZBQOSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
28,指定薬物,Ｎ－（１－アミノ－１－オキソ－３－フェニルプロパン－２－イル）－１－（４－フルオロベンジル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(1-amino-1-oxo-3-phenylpropan-2-yl)-1-(5-fluorobenzyl)indazole-3-carboxamide,FU-PX-2,,2015/08/19,平成27年8月19日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
29,指定薬物,Ｎ－（１－アミノ－１－オキソ－３－フェニルプロパン－２－イル）－１－（５－フルオロペンチル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(1-amino-1-oxo-3-phenylpropan-2-yl)-1-(5-fluoropentyl)indazole-3-carboxamide,PX-2,,2014/11/18,平成26年11月18日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
30,指定薬物,Ｎ－（１－アミノ－１－オキソ－３－フェニルプロパン－２－イル）－１－（５－フルオロペンチル）－１Ｈ－インドール－３－カルボキサミド及びその塩類,N-(1-amineo-1-okiso-3-fe nirupuropan-2-iru)-1-(5-fu ruoropenchiru)-1H-indo-ru- 3-karubokisamido,PX-1,5F-APP-PICA,2014/11/18,平成26年11月18日,125181260,DDVANTXQCRMRFF-FQEVSTJZSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
31,指定薬物,N－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－１－（シクロヘキシルメチル）－１Ｈ－インドール－３－カルボキサミド及びその塩類,"N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(cyclohexylmethyl)indole-3-carboxamide  ",ADB-CHMICA,ADB-CHMINACA; ADB-CHMICA; MAB-CHMICA,2019/02/19,平成31年2月19日,68894304,ZWCCSIUBHCZKOY-GOSISDBHSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
32,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－１－（５－フルオロペンチル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,"N-[1-amino-3,3-dimethyl-1-oxobutan-2-yl]-1-(5-fluoropentyl)indazole-3-carboxamide",5F-ADB-PINACA,,2014/11/18,平成26年11月18日,119026135,SOYDDJYBRCNNIT-MRXNPFEDSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
33,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－１－（５－フルオロペンチル）－１Ｈ－インドール－３－カルボキサミド及びその塩類,"N-[1-amino-3,3-dimethyl-1-oxobutan-2-yl]-1-(5-fluoropentyl)indole-3-carboxamide",5F-ADBICA,,2015/01/30,平成27年1月30日,118796421,ITZSOCZDFSHNCL-QGZVFWFLSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
34,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－５－ブロモ－１－ブチル－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,"N-[1-amino-3,3-dimethyl-1-oxobutan-2-yl]-5-bromo-1-(1,1,2,2,3,3,4,4,4-nonadeuteriobutyl)indazole-3-carboxamide  ",ADB-5’Br-BUTINACA,,2024/08/07,令和6年8月7日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
35,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－５－ブロモ－１－ペンチル－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,"N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-5-bromo-1-pentylindazole-3-carboxamide",ADB-5’Br-PINACA,,2024/11/06,令和6年11月6日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
36,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－１－ヘキシル－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-heki shiru-1H-indazo-ru-3-karubo kisamido",ADB-HEXINACA,ADB-HINACA,2022/12/16,令和4年12月16日,162705326,PZMLDAGKYPJWHJ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
37,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－１－ベンジル－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-ben jiru-1H-indazo-ru-3-karubo kisamido",ADB-BINACA,,2023/08/31,令和5年8月31日,129406620,IUFIUAWRCUVUCQ-GOSISDBHSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
38,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－１－（ペンタ－４－エン－１－イル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-(pen ta-4-en-1-iru)-1H-inda zo-ru-3-karubokisamido",ADB-4en-PINACA,,2023/10/26,令和5年10月26日,162705324,NXDLAZXBALPFSN-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
39,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－１－ペンチル－１H－インダゾ－ル－３－カルボキサミド及びその塩類,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-pen chiru-1H-indazo-ru-3-karubo kisamido",ADB-PINACA,,2014/06/11,平成26年6月11日,86280478,FWTARAXQGJRQKN-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
40,指定薬物,Ｎ－（１－アミノ－３，３－ジメチル－１－オキソブタン－２－イル）－１－ペンチル－１Ｈ－インドール－３－カルボキサミド及びその塩類,"N-(1-amineo-3,3-jimechiru-1 -okisobutan-2-iru)-1-pen chiru-1H-indo-ru-3-karuboki samido",ADBICA,,2013/04/30,平成25年4月30日,72710773,IXUYMXAKKYWKRG-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
41,指定薬物,２－アミノ－１－（４－ブロモ－２，５－ジメトキシフェニル）エタノン及びその塩類,"2-amineo-1-(4-buromo-2,5-ji methoxyphenyl)etanon",bk-2C-B,,2015/03/25,平成27年3月25日,11288812,HFYJGAIOBIDRPX-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
42,指定薬物,Ｎ－（１－アミノ－３－メチル－１－オキソブタン－２－イル）－１－（５－クロロペンチル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(1-amineo-3-mechiru-1-oki sobutan-2-iru)-1-(5-kuroro penchiru)-1H-indazo-ru-3- karubokisamido,5Cl-AB-PINACA,,2014/10/29,平成26年10月29日,91936938,VUPMALPMUYUYES-HNNXBMFYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
43,指定薬物,Ｎ－（１－アミノ－３－メチル－１－オキソブタン－２－イル）－１－（２－フルオロベンジル）－１Ｈ－インダゾール－３－カルボキサミド及びその塩類,N-(1-amineo-3-mechiru-1-oki sobutan-2-iru)-1-(2-furuo robenzylu)-1H-indazo-ru-3 -karubokisamido,AB-FUBINACA 2- fluorobenzyl isomer,,2015/11/25,平成27年11月25日,121232597,AJGUHANHCUPXSK-KRWDZBQOSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
44,指定薬物,N－（１－アミノ－３－メチル－１－オキソブタン－２－イル)－１－（5-フルオロペンチル）-1H-インダゾール-3-カルボキサミド及びその塩類,N-(1-amineo-3-mechiru-1-oki sobutan-2-iru)-1-(5-furuoro penchiru)-1H-indazo-ru-3-karubo kisamido,5-Fluoro-AB-PINACA,,2014/06/11,平成26年6月11日,91936927,WCBYXIBEPFZUBG-HNNXBMFYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
45,指定薬物,Ｎ－（１－アミノ－３－メチル－１－オキソブタン－２－イル）－１－（５－フルオロペンチル）－１Ｈ－インドール－３－カルボキサミド及びその塩類,N-(1-amineo-3-mechiru-1-oki sobutan-2-iru)-1-(5-furuo ropenchiru)-1H-indo-ru-3-ka rubokisamido,5-Fluoro-ABICA,,2014/08/15,平成26年8月15日,119058049,GQYZBLMAONPUNX-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
46,指定薬物,２－（４－アリルオキシ－３，５－ジメトキシフェニル）エタンアミン及びその塩類,"2-(4-ariruokishi-3,5-jimeto kishiphenyl)etanamine 類",Allylescaline,,2015/03/25,平成27年3月25日,44719469,JNUAYHHGCXYBHX-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
47,指定薬物,７－アリル－N，N－ジエチル－４－（チオフェン－２－カルボニル）－４，６，６ a，７，８，９－ヘキサヒドロインドロ［４，３－ｆｇ］キノリン－９－カルボキサミド及びその塩類,"7-ariru-N,N-jiechiru-4-(chi ofen-2-karuboniru)-4,6,6 a,7,8,9-hekisahidoroindoro[4, 3-fg]kinorin-9-karubokisamido及 びその salts",1T-AL-LAD,,2025/07/03,令和7年7月3日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
48,指定薬物,"７－アリル－N，N－ジエチル－４，６，６ a，７，８，９－ヘキサヒドロインドロ[４，３
－ｆｇ]キノリン－９－カルボキサミド及びその塩類","7-ariru-N,N-jiechiru-4,6,6 a,7,8,9-hekisahidoroindoro[4,3 -fg]kinorin-9-karubokisamido及び その salts",AL-LAD,,2020/02/28,令和2年2月28日,15227511 ,JCQLEPDZFXGHHQ-OXQOHEQNSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
49,指定薬物,７－アリル－４－（シクロプロピルカルボニル）－Ｎ，Ｎ－ジエチル－４，６，６ a，７，８，９－ヘキサヒドロインドロ［４，３－ｆｇ］キノリン－９－カルボキサミド及びその塩類,"7-ariru-4-(shikuropuropirukaru boniru)-N,N-jiechiru-4,6,6 a,7,8,9-hekisahidoroindoro[4, 3-fg]kinorin-9-karubokisamido及 びその salts",1cP-AL-LAD,,2025/01/27,令和7年1月27日,162368406 ,VSABTUDYQCMWKE-AUSIDOKSSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
50,指定薬物,２－（イソプロピルアミノ）－２－（３－メトキシフェニル）シクロヘキサノン及びその塩類,2-(isopropylamineo)-2-(3-meto kishiphenyl)shikurohekisanon及びそ の salts,Methoxisopropamine,MXiPr,2022/12/16,令和4年12月16日,163192824 ,FTQIVDGNGXPEKP-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
51,指定薬物,１－（４－イソプロピルスルファニル－２，５－ジメトキシフェニル）プロパン－２－アミン及びその塩類,"1-(4-isopropylsurufaniru- 2,5-jimethoxyphenyl)puropan-2 -amine",ALEPH-4,,2011/04/14,平成23年4月14日,44350301 ,BCWCXWKCQMBFBQ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
52,指定薬物,Ｎ－イソプロピル－Ｎ－メチルトリプタミン及びその塩類,N-isopropyl-N-mechirutoriputami n,MIPT,,2007/02/28,平成19年2月28日,29935323 ,KTQJVAJLJZIKKD-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
53,指定薬物,Ｎ－イソプロピル－５－メトキシ－Ｎ－メチルトリプタミン及びその塩類,N-isopropyl-5-methoxy-N-me chirutoriputamine,5-MeO-MIPT,,2007/02/28,平成19年2月28日,2763156 ,HEDOODBJFVUQMS-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
54,指定薬物,一酸化二窒素,一酸化二窒素,亜酸化窒素,Nitrous oxide,2016/02/18,平成28年2月18日,948 ,GQPLMRYTRLFLPF-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
55,指定薬物,インダン－２－アミン及びその塩類,indan-2-amine,2-AI,,2007/12/12,平成19年12月12日,76310 ,LMHHFZAXSANGGM-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
56,指定薬物,１－（インダン－５－イル）－２－（ピロリジン－１－イル）ブタン－１－オン及びその塩類,1-(indan-5-iru)-2-(pirori jin-1-iru)butan-1-on及び その salts,α-PBP indane analog,5-PPDI,2015/01/30,平成27年1月30日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
57,指定薬物,１－（インダン－５－イル）－２－（ピロリジン－１－イル）ヘキサン－１－オン及びその塩類,1-(indan-5-iru)-2-(pirori jin-1-iru)hekisan-1-on及 びその salts,α-PHP indane analog,5-BPDI,2015/02/18,平成27年2月18日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
58,指定薬物,（１Ｈ－インドール－３－イル）（２，２，３，３－テトラメチルシクロプロパン－１－イル）メタノン及びその塩類,"(1H-indo-ru-3-iru)(2,2, 3,3-tetoramechirushikuropuropan-1 -iru)metanon",DP-UR-144,,2014/09/19,平成26年9月19日,24756409 ,WYZQBEQQQKCTHM-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
59,指定薬物,１－（１Ｈ－インドール－５－イル）プロパン－２－アミン及びその塩類,1-(1H-indo-ru-5-iru)puro pan-2-amine,5-API,5-IT,2012/12/17,平成24年12月17日,55253543 ,AULGMISRJWGTBA-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
60,指定薬物,２－（エチルアミノ）－１－（インダン－５－イル）ブタン－１－オン及びその塩類,2-(echiruamineo)-1-(indan-5 -iru)butan-1-on,bk-IBP,,2015/01/30,平成27年1月30日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
61,指定薬物,２－（エチルアミノ）－１－（インダン－５－イル）ペンタン－１－オン及びその塩類,2-(echiruamineo)-1-(indan-5 -iru)pentan-1-on 類,bk-IVP,,2015/01/30,平成27年1月30日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
62,指定薬物,３－［１－（エチルアミノ）シクロヘキシル］フェノール及びその塩類,3-[1-(echiruamineo)shikurohekishi ru]feno-ru,3-HO-PCE,,-,令和元年12月17日,137332171 ,MIKNPNLBFHVMKK-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
63,指定薬物,２－（エチルアミノ）－２－（チオフェン－２－イル）シクロヘキサノン及びその塩類,2-(echiruamineo)-2-(chiofen- 2-iru)shikurohekisanon 類,Tiletamine,,2017/02/24,平成29年2月24日,26533 ,QAXBVGVYDCAVLV-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
64,指定薬物,２－（エチルアミノ）－２－（３－ヒドロキシフェニル）シクロヘキサノン及びその塩類,2-(echiruamineo)-2-(3-hidoroki shiphenyl)shikurohekisanon,HXE,Hydroxetamine,2024/01/19,令和6年1月19日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
65,指定薬物,２－（エチルアミノ）－２－フェニルシクロヘキサノン及びその塩類,2-(echiruamineo)-2-phenylshiku rohekisanon,Deschloro-N-ethyl- ketamine,Eticyclidone; O-PCE; 2-Oxo-PCE,2018/08/22,平成30年8月22日,132989542 ,IDLSBAANXISGEI-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
66,指定薬物,２－（エチルアミノ）－２－（２－フルオロフェニル）シクロヘキサノン及びその塩類,2-(echiruamineo)-2-(2-furuoro phenyl)shikurohekisanon 類,2F-NENDCK,2-fluoro-2-oxo-PCE,2025/01/27,令和7年1月27日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
67,指定薬物,２－（エチルアミノ）－２－（３－フルオロフェニル）シクロヘキサノン及びその塩類,2-(echiruamineo)-2-(3-furuoro phenyl)shikurohekisanon 類,FXE,Fluorexetamine,2023/08/31,令和5年8月31日,,,,https://laws.e-gov.go.jp/law/419M60000100014,,NOTFOUND
68,指定薬物,２－（エチルアミノ）－２－（３－メチルフェニル）シクロヘキサノン及びその塩類,2-(echiruamineo)-2-(3-mechiru phenyl)shikurohekisanon 類,DMXE,Deoxymethoxetamine; 3’-methyl-2-oxo-PCE; 3D-MXE,2022/06/28,令和4年6月28日,157010705 ,WIMLPRYZJQNQLE-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
69,指定薬物,Ｎ－エチル－Ｎ－イソプロピル－５－メトキシトリプタミン及びその塩類,N-echiru-N-isopropyl-5-me tokishitoriputamine,5-MeO-EIPT,,2008/12/17,平成20年12月17日,53485366 ,VVEQXDHSGNBFLZ-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
70,指定薬物,Ｎ－エチル－１，２－ジフェニルエチルアミン及びその塩類,"N-echiru-1,2-jiphenylechiru amine",Ephenidine,EPE; NEDPA,2016/11/01,平成28年11月1日,110821 ,IGFZMQXEKIZPDR-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
71,指定薬物,エチル＝３，３－ジメチル－２－（１－ペンチル－１Ｈ－インダゾール－３－カルボキサミド）ブタノアート及びその塩類,"echiru=3,3-jimechiru-2-(1-pe nchiru-1H-indazo-ru-3-karu bokisamido)butanoa-to",EDMB-PINACA,,2024/01/19,令和6年1月19日,163203511 ,HKKKXLZFEZHHFC-GOSISDBHSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
72,指定薬物,２－（４－エチル－２，５－ジメトキシフェニル）エタンアミン及びその塩類,"2-(4-echiru-2,5-jimethoxyfe niru)etanamine",2C-E,,2007/02/28,平成19年2月28日,24729233 ,VDRGNAMREYBIHA-UHFFFAOYSA-N,,https://laws.e-gov.go.jp/law/419M60000100014,,OK
